gene_id	adipose_tpm	other_tissues_median_tpm	fc	log2_fc	zscore	pval
ENSG00000170323.4	5946.5	17.675	336.435643564356	8.39418674931979	12.067778800618	0
ENSG00000196616.8	1302	59.9675	21.7117605369575	4.44040480909276	6.16408080800183	3.54468676633246e-10
ENSG00000165507.8	1019	59.84	17.028743315508	4.0899000660529	5.64071503336631	8.46727166159411e-09
ENSG00000197766.3	2089.5	129.15	16.1788617886179	4.01603821009177	5.53042617642859	1.59726859516596e-08
ENSG00000131471.2	319.7	19.9425	16.0310893819732	4.00280056108906	5.51066001758985	1.78745321877116e-08
ENSG00000174807.3	374.45	23.75	15.7663157894737	3.9787736711081	5.47478360753644	2.19023281733399e-08
ENSG00000167772.7	220.6	17.32	12.7367205542725	3.67092195575202	5.01510637155139	2.65020666634364e-07
ENSG00000147872.5	326.05	26.995	12.0781626227079	3.59432909783509	4.90073964410688	4.77382578911723e-07
ENSG00000145824.8	517.8	46.3075	11.1817740106894	3.48307718766505	4.73462080177442	1.09732512909577e-06
ENSG00000008394.8	167.9	16.025	10.4773790951638	3.38920596831829	4.59445441485675	2.16941479935784e-06
ENSG00000076555.11	162.35	16.005	10.1437050921587	3.34251280262787	4.52473323328355	3.02358663117896e-06
ENSG00000127954.8	158.25	15.73	10.0603941513032	3.33061492378738	4.50696758902473	3.28803368732089e-06
ENSG00000004776.7	434.35	43.345	10.0207636405583	3.32492054937532	4.49846487762235	3.42229506056224e-06
ENSG00000164056.6	201.4	20.185	9.97770621748823	3.31870819141364	4.48918872486981	3.57474679779646e-06
ENSG00000169710.6	426	42.7525	9.9643295713701	3.3167727396757	4.48629875200009	3.62355526806191e-06
ENSG00000163815.5	383.3	39.1725	9.78492564937137	3.29056088859447	4.44715980732623	4.35065528459067e-06
ENSG00000076706.10	335.15	35.51	9.43818642635877	3.23850966837315	4.36943809960955	6.22833211683105e-06
ENSG00000173641.13	146.3	15.7	9.31847133757962	3.22009330524686	4.34193920167748	7.06153095686446e-06
ENSG00000178878.8	173.8	18.7325	9.27799279327372	3.21381272556776	4.33256118179562	7.36923435384895e-06
ENSG00000143196.4	294.35	32.0325	9.18910481542184	3.19992432383681	4.3118233336646	8.09568919235559e-06
ENSG00000163520.9	263	28.8775	9.10743658557701	3.18704504462169	4.29259228450756	8.82995559847721e-06
ENSG00000148926.5	274.25	30.2125	9.07736863880844	3.18227414752497	4.28546848859806	9.11772477729667e-06
ENSG00000101938.10	173.45	19.43	8.9269171384457	3.1581620345884	4.24946482555002	1.07140926335347e-05
ENSG00000135424.11	253	28.7275	8.8068923505352	3.13863303147306	4.22030455868837	1.21986245424921e-05
ENSG00000174804.3	163.6	18.68	8.75802997858672	3.13060638811945	4.20831935592034	1.28638543034354e-05
ENSG00000211445.7	4407.5	503.825	8.74807720934848	3.12896595347387	4.20586989591709	1.30039913990299e-05
ENSG00000134531.5	307.25	35.455	8.66591453955719	3.11535200928864	4.18554186160135	1.42243315492951e-05
ENSG00000110799.9	267.35	31.075	8.60337892196299	3.10490338034613	4.16994020459395	1.52339784530442e-05
ENSG00000105974.7	550.8	66.4925	8.28364101214422	3.05026503288949	4.08835545685717	2.17221055182071e-05
ENSG00000143387.8	286.8	35.665	8.04149726622739	3.00746414536585	4.02444613722964	2.85547813608789e-05
ENSG00000189058.4	2361.5	296.8	7.95653638814016	2.99214053841712	4.00156527304682	3.14624154958976e-05
ENSG00000177666.11	1023	129.7	7.88743253662298	2.97955576038099	3.98277396640608	3.40577663748842e-05
ENSG00000169692.8	502.85	64.16	7.83743765586035	2.97038206181403	3.96907600667198	3.60759333472016e-05
ENSG00000101955.10	242.15	31.1875	7.76432865731463	2.956861187377	3.94888694200451	3.92577104569858e-05
ENSG00000184113.8	270.75	34.98	7.7401372212693	2.9523591434614	3.9421645915995	4.0374764880835e-05
ENSG00000213088.5	340.65	44.055	7.73237997957099	2.9509125352694	3.94000454888386	4.07400320485696e-05
ENSG00000187498.10	270.75	35.41	7.64614515673539	2.93473258899214	3.91584501813538	4.50440543889874e-05
ENSG00000137507.7	179.6	24.145	7.43839304203769	2.89499098145585	3.85650374636514	5.75101680364565e-05
ENSG00000074181.4	165.95	22.325	7.43337066069429	2.89401654895708	3.85504874574195	5.78532860143754e-05
ENSG00000099194.5	343.45	46.715	7.35202825644868	2.87814231142565	3.83134569239571	6.37221466347482e-05
ENSG00000026025.9	1752	238.8	7.33668341708543	2.87512803322373	3.82684484018917	6.48981359412382e-05
ENSG00000100234.11	1478.5	204.3	7.23690651003426	2.85537313427446	3.79734727076468	7.31264157068923e-05
ENSG00000174059.12	236.55	32.8	7.21189024390244	2.85037744089358	3.78988781411525	7.53576687728685e-05
ENSG00000151491.8	139.7	19.685	7.09677419354839	2.82716340313778	3.75522513666583	8.65928653667192e-05
ENSG00000071282.7	119.1	17.0675	6.97817489380401	2.80284975621125	3.71892054761074	0.000100037983576606
ENSG00000022267.12	634.55	91.08	6.96695212999561	2.8005276505525	3.7154532318297	0.000101419890984222
ENSG00000166741.3	293.2	42.1375	6.95817264906556	2.7987084761496	3.71273688165334	0.000102515005311554
ENSG00000196154.7	755.25	109.25	6.91304347826087	2.78932099922734	3.69871971290212	0.000108344864168108
ENSG00000113721.9	295.6	43.26	6.833102172908	2.77254069907153	3.67366374728666	0.000119548666419611
ENSG00000170525.14	272.8	40.0975	6.80341667186234	2.7662594489542	3.66428472632156	0.00012401537511153
ENSG00000131477.6	261.1	38.695	6.74764181418788	2.7543833929186	3.64655166738267	0.00013289152817908
ENSG00000176435.6	114.25	17.145	6.66375036453777	2.73633435589716	3.61960125250319	0.000147528670701669
ENSG00000148180.12	899.25	137.1	6.55908096280088	2.71349368324352	3.58549607540089	0.000168219031537742
ENSG00000173918.10	162.3	24.85	6.53118712273642	2.70734524298569	3.5763153631217	0.000174235618644714
ENSG00000000971.11	150.5	23.085	6.51938488195798	2.70473584948506	3.5724190756166	0.000176849399726176
ENSG00000163431.11	231.75	35.62	6.50617630544638	2.70180991729864	3.56805013968724	0.000179823846300331
ENSG00000135046.9	313.35	48.555	6.45350633302441	2.6900832217453	3.55054010245077	0.000192220780489194
ENSG00000146674.10	257.9	40.11	6.42981800049863	2.68477790186207	3.54261831849345	0.000198087827246729
ENSG00000130600.11	319.05	49.855	6.39955872028884	2.67797242792517	3.53245653834789	0.000205858947998183
ENSG00000091986.11	119.4	18.95	6.30079155672823	2.65553308309371	3.4989506148954	0.000233546542909746
ENSG00000134871.13	340.7	55.5125	6.13735645124972	2.61761737612923	3.44233573666517	0.000288356999141315
ENSG00000127920.5	109.3	17.82	6.13355780022447	2.61672415903735	3.44100200505527	0.000289782119078374
ENSG00000151726.9	317.6	51.875	6.12240963855422	2.61409957602131	3.43708303690845	0.000294007651775563
ENSG00000163430.5	344.95	56.99	6.05281628355852	2.59760656270821	3.41245604152511	0.000321901547276959
ENSG00000149564.7	178.9	29.5825	6.04749429561396	2.59633750336298	3.41056111074181	0.00032414677121706
ENSG00000116016.9	423.65	71.0875	5.95955688412168	2.57520506477366	3.37900663020521	0.00036374126826344
ENSG00000204291.6	126.95	21.345	5.94752869524479	2.57229032728723	3.37465440994932	0.000369542202002582
ENSG00000168497.4	97.69	16.51	5.91701998788613	2.56487076856697	3.36357569225949	0.000384698672090344
ENSG00000130300.4	461.15	78.225	5.89517417705337	2.55953443927101	3.35560760574669	0.000395954210521077
ENSG00000142871.11	687.7	116.725	5.89162561576355	2.55866575701293	3.3543105089971	0.000397815130213641
ENSG00000136859.5	165.75	28.5225	5.81120168288194	2.53883652553557	3.32470194791866	0.000442565520337057
ENSG00000011465.12	713.45	123.1	5.79569455727051	2.5349815644734	3.31894580703169	0.000451789816844239
ENSG00000161544.5	105.5	18.4325	5.72358605723586	2.5169193368501	3.2919756962431	0.00049743104380584
ENSG00000241978.5	101.85	18.13	5.61776061776062	2.48999515010909	3.25177310803294	0.00057343766909157
ENSG00000240583.6	726.5	129.9	5.5927636643572	2.48356136707232	3.2421663283538	0.00059312383856247
ENSG00000177469.12	784.55	140.35	5.58995368721054	2.48283633038359	3.2410837199276	0.000595381036402443
ENSG00000087245.8	556.85	99.815	5.57882081851425	2.4799602154132	3.2367891699413	0.000604413418814564
ENSG00000136960.8	119.95	21.52	5.57388475836431	2.47868317462417	3.23488232144621	0.000608464377521156
ENSG00000144476.5	150.7	27.2075	5.53891390241661	2.46960311324	3.22132417864092	0.000637998636623727
ENSG00000182704.6	101.3	18.42	5.49945711183496	2.45928920759716	3.20592368742512	0.000673148436802107
ENSG00000174348.9	145.1	26.47	5.48167737060824	2.45461741945871	3.19894787877611	0.000689650514531959
ENSG00000154734.10	205.5	37.5	5.48	2.4541758931858	3.1982886017066	0.000691229253167114
ENSG00000135862.5	222.3	40.67	5.4659454143103	2.45047105245222	3.19275661710743	0.00070460833924868
ENSG00000163359.11	189.4	34.875	5.43082437275986	2.44117120875184	3.17887030030604	0.000739251160013166
